Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-09-13,0.9325146682989267,1.2308966130964019,3.2231761196698985,4.7810463075410725,1.9252001348625551,2.4847596878511657,1.8743696721922727,1.3259150928073766,3.106907125477164,0.17095799035821876,0.3189095188917061,3.0807643313719533,1.4604666823502706,0.6286154749739936,1.3559113318068732,0.23194012047021212,1.7305160817445322,0.7208013779528357,0.8137476481159419,1.795898168498048,0.23042467863522348,0.30770353109944815,2.2328740985361897,1.2576608141978278,1.198789739094567
2021-09-14,0.4567746380442375,1.144937287224717,1.8845702150176384,4.000285110209592,1.863576256581607,1.9570771099625424,1.868457107333173,1.6502022643590113,3.085153527128168,0.15103280011083017,0.5821654909831943,3.0061440575542346,1.7550106823704537,0.6258489220085943,1.7176298722122465,0.1625585060940679,1.4948707153056582,0.7866535563135642,1.1380151986471077,1.0438815441248,0.1892393272839441,0.30736187394036546,0.9401605337616523,0.912982105920823,1.040986772890903
2021-09-15,0.6465428042717054,0.8876775976188802,1.1918647114509073,2.9727410804653194,1.4411810157086415,1.7356964023560668,1.3966676946659575,0.9441801110063854,2.2469352827614886,0.14242112438379273,0.6219283741886817,2.6207839989860826,1.051262152047364,0.42958256973675096,0.9446379046185154,0.17012891740139166,1.4076633365677589,0.5616523111318601,1.2772815759871308,1.221732077287398,0.16867366173811862,0.2576925457142755,0.6302253343735644,0.7087616797478795,0.690218902740264
2021-09-16,1.2014945049660488,0.969282852356178,1.3955609623126624,2.804016169034321,1.5499899173550478,1.4187639745785101,1.4755815381252508,1.0677808843432905,2.5272625010326473,0.1812061019557453,0.8244220220280947,3.563635280774709,1.0634060488090267,0.4661601578183327,1.245074802632984,0.24662501699468903,1.8085079270279938,0.5227683136000815,1.6292359810414494,1.6861518486926843,0.2909066515539176,0.3209760169021525,1.1360854628392572,0.8327651567495096,0.7705879875691943
2021-09-17,1.3052718750379286,1.0572873626914536,1.0331954026990762,3.1553998206538307,1.2406860394842805,1.2299665511005005,1.2193282437144886,0.8765302263878725,2.4743389442443524,0.13982048882912015,0.9114849603040232,2.7980686705374835,0.724176564327977,0.5390823523828768,1.0876232149669929,0.26524855476019926,2.3138204856069358,0.6147429211469384,1.4084860756138415,1.9626124149519901,0.28110749008208136,0.29991596055103503,1.2806227376341304,0.9889883346029972,0.7684451887296866
2021-09-20,1.0712653817530793,0.9029614745017487,0.9176158913322712,2.3086890013781285,0.9401118201748108,1.0298188551201282,0.9389531690774497,0.9562146899926343,3.78554883793381,0.1451808868054013,1.1497389900930828,2.3872847761271982,0.6155029330779653,0.5214423878791753,1.1073156142533753,0.27482095098439485,2.8241328614651637,0.6732499057220642,1.5827214928487288,1.7187363072625905,0.2886386940076911,0.29353942028739044,1.0713198596917357,0.6457769750371559,0.662015065162845
2021-09-21,0.7187131199165312,0.6605292390147258,0.407215527256923,1.0443943710665555,0.5242890869512108,0.5245704556364609,0.5213824152737853,0.6185809048136642,1.4024478645888272,0.19923959842169006,0.8273176668490827,0.9678184923573219,0.33601358876491855,0.36757389405643637,0.7016900621016328,0.26131460016358987,1.6559400093343535,0.5153239756840536,1.132481722024167,1.0464406276908418,0.3397066606726842,0.28324619019077124,0.6681573915614409,0.6120922750165367,0.18913945170025662
2021-09-22,0.5390620963205226,0.4133677108682052,0.44200653386432337,0.6728844885501175,0.5007440389336953,0.35081232369177373,0.49845598360941706,0.6419528824996978,1.1949484700726887,0.1232239272701548,0.8297385512872405,0.7426766235626764,0.4060442679752221,0.40282961776848053,0.7652271179139669,0.2637084667313068,1.5909713361234556,0.5194150665453451,1.0460665943536327,0.8410899462278449,0.31629982622568176,0.2754533106411198,0.6138965595776527,0.6520155609049741,0.30191151039827624
2021-09-23,0.8183437152028163,0.6153579480099648,0.8217753788377887,0.6214786268137511,0.6079507740777658,0.25349407752307823,0.614804172717604,1.1283027021772882,1.3485177830103923,0.12960368023707303,0.7891604869150346,1.134208466733546,0.6757332904237834,0.6180981060080613,1.1509191016199816,0.2615668210731448,1.8700443531383513,0.9012622633668597,1.3019979636791643,0.867579811804999,0.33783564217300616,0.2533351308303131,0.45329010022688143,0.6990107031793186,0.45933886534564927
2021-09-24,0.8787105454438724,0.6375918948919211,1.0396677518782975,0.7431997372641173,0.6477907199642416,0.2608917284252945,0.6610583466880661,1.649549400631001,1.428589085016016,0.25819298074213176,0.7422650034086812,1.4797820998421167,1.1445079047341653,0.9042390547683696,1.734625917705926,0.2909174525544812,2.4124835502380115,1.194007870649927,1.0912212935764212,0.8417406995976232,0.5104601420734628,0.5373096870644143,0.49463029571441247,1.508394283929465,0.6589603196425547
2021-09-27,0.9034749410437405,0.5694976570133349,0.8996027135726082,0.8406908856587937,0.8938476771155975,0.4788250595823378,0.8511566946139669,1.4320407481517154,1.9163393902766181,0.19297513649278053,0.5432160236082227,1.5895955796952599,1.237617477001717,1.7264587468076715,1.5534390352271763,0.1895591789371426,2.113513023785107,2.001547907520998,0.9225986014939461,1.3174366391840344,0.4548514602700773,0.5346198556316507,0.4473153042714144,2.374522904423471,0.68556480094604
2021-09-28,0.6877629280849138,0.47752435826104017,0.6278836708099126,0.7083370012910415,0.7497099243212519,0.47133002385100137,0.7125469908106902,1.8201525367035467,2.237426318251684,0.1657469856833675,0.5280982162755848,1.3280198829793954,1.7021077139985716,1.3778373320154806,1.9913064214339276,0.16559745264142667,2.2517260618997343,1.9694591728242101,0.6459856738921647,0.9496634134787301,0.41642121811858973,0.6221189155715834,0.33321642499764703,1.6192940695526061,0.8488430235119521
2021-09-29,0.47222966660982124,0.27877983394648803,0.49563144899105055,0.4186843114549875,0.45935831820145756,0.25244354347377934,0.4329083629643635,2.0030639055215267,1.4267819305108553,0.1627281990853931,0.4618470251671092,0.8563771300661387,1.6159149775402109,0.9698186329797216,2.283579839306123,0.19705494302438653,1.3413113188876884,1.300795851510991,0.5970562526890814,0.7053155154172446,0.5098493204312162,0.7932654554003051,0.2710565342778437,1.3030866493279216,0.5423426022545179
2021-09-30,0.48735133613189957,0.35310893295737106,0.5117821732004492,0.35375025903394725,0.43242098492010045,0.26850356465320746,0.4050659445016891,2.2314957095780237,1.4709249584784192,0.4036866236597236,0.5880969866770165,0.8725330005029288,1.7031709519683365,0.8657565516944771,2.5731983786501855,0.3138430278411428,1.3722090338200583,1.1088233476865899,0.6483427555800402,0.6667023313325153,0.9572785084670649,0.8180938809183913,0.25299900522981994,1.346722030828662,0.6057991189995622
2021-10-01,0.49937123264289074,0.34589743802971246,0.5954370221800152,0.3797862085817426,0.4179739984687084,0.259275903091644,0.37469644104445604,1.7938128785586795,1.3314865446090427,0.6556839333472307,0.4681572769833612,0.7877632314516487,1.3660258810836747,0.7569819381534356,2.0267338177292276,0.34952488263105563,0.8629036742710909,0.8834800516625313,0.5283030501054341,0.6220061387125256,1.4203753233423422,1.1158913418966345,0.2514629413710645,1.484560402298972,0.7953611211492627
2021-10-04,0.7867183829138593,0.5529639507376435,0.5186010080180263,0.3957904011351926,0.7067985096286078,0.321419733350439,0.6614277716312623,2.177259584327172,1.8381279430782698,0.6302993782790814,0.6654331607290843,0.7300503709287631,1.8889815835415977,1.3648826225155823,2.51047313955733,0.35048835513719634,0.9243825707987984,1.5414466911873985,0.4997714325070482,0.6180066868024503,3.8238276018250588,1.4876238642588875,0.2743975969934243,1.9477325126543057,0.8233438077142711
2021-10-05,0.6124211086616845,0.40609519963091734,0.42743820243825503,0.30922662038072896,0.5001212506820839,0.24660026950585612,0.4777586542227551,1.9549053894878172,1.8224475484464544,0.5578212061583698,0.2985354270832226,0.5440252140638052,1.6375940056182559,1.0244024945068295,2.355839576684056,0.3460258037174536,0.6761085185930751,0.9326578933464809,0.3025666416294417,0.5778332555717299,4.847597921693861,1.240622079736255,0.25714294281365646,1.8506251079819045,0.7292024217458731
2021-10-06,0.7013820968659518,0.5707254107985689,0.593892664600084,0.402079452583766,0.6325909097634184,0.35756868394579683,0.6179667314999503,2.809502903453941,1.7579137547619157,0.930614479705091,0.49462791171454357,0.6839171527398614,2.358700243001751,1.082972043664569,2.7813071865492,0.42448629280349304,0.8647087815166163,0.9571914071678069,0.36823139960502993,0.7378856412615241,4.40501425856259,1.6978904759090123,0.33494557515190515,1.879961110512124,0.7685306836865453
2021-10-07,0.686899614771138,0.5722168100454708,0.6336068392677334,0.44888151664934905,0.6171492985194964,0.38289666181497944,0.5879029575157572,2.079404939197435,1.5662754818454079,0.8005002275943317,0.3859149285845298,0.5967934022775662,2.269449936187182,1.1549430086588894,1.8226267418644382,0.3939149716552327,0.8907342393326889,1.131297712092295,0.5855897030446203,0.7574476705493587,3.1732771413780707,1.344899976425136,0.2371707415390469,1.9533035836204053,0.8984370650665536
